Name,Price,Color,Image_link,Product_link,Description
Animal Print Asymmetric Gathered Maxi Dress,"189,90 ",Brown Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31371-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-asymmetric-gathered-maxi-dress-brown-animal-print/,–See-through–Lightweightsemi-stretchfabric–Designedforastretchyfit–Maxilength–Printed–100%polyester–MadeInEurope
Animal Print Asymmetric Gathered Top,"69,90 ",Black Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32751-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-asymmetric-gathered-top-black-animal-print/,–Runsslightlysmall–Stretchymaterial–Adjustablecut-outgathering–Printed–94%polyester–6%elastane–MadeInEurope
Animal Print Contrast Pleated Bralette,"46,90 ",Black Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32301-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-contrast-pleated-bralette-black-animal-print/,–Adjustablestraps–Elasticatedband–3rowsofbackfasteninghooksforaddedsupport–Printed–Pleated–100%polyester–MadeInEurope
Animal Print Contrast Pleated Sheer Top,"99,90 ",Brown Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31721-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-contrast-pleated-sheer-top-brown-animal-print/,"–Fitstruetosize–Designedforaclosefit–Bustislined,allelseissheer–Stretchmeshfabric–Adjustablestrapsandchanneledgathering–Printed–Pleated–95%polyester–5%elastane–MadeInEurope"
Animal Print Cut-Out Mesh Ribbon Top,"99,90 ",Black Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32761-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-cut-out-mesh-ribbon-top-black-animal-print/,–Truetosize–Adjustablechanneledgathering–Sheer–Printed–95%polyester–5%elastane–MadeInEurope
Animal Print Cut-Out Organza Jumper,"129,90 ",Black Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32741-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-cut-out-organza-jumper-black-animal-print/,–Fitslightlyrelaxedattopandfittedatwaist–Non-stretchsheerorganzafabric–Cut-outopeningatwaistwithcontrastadjustablechannelledgathering–Ribbingatnecklineandcuffs–Printed–100%polyester–MadeInEurope
Animal Print Drapped Bralette,"44,90 ",,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31211-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-drapped-bralette-black-animal-print/,–Stretchyjerseyfabric–Fitstruetosize–Contrastprintandsolidpanelling–Cross-overbralettedesign–Cut-outdesign–Elasticwaistband–Elasticthinstraps–Printed–94%polyester–6%elastane–MadeInEurope
Animal Print Gathered Front Ribbon Top,"69,90 ",Brown Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32721-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-gathered-front-ribbon-top-brown-animal-print/,–Relaxedfit–Semi-sheerfabric–Adjustablechannelledgatheringatfront–Longsleeves–Printed–100%polyester–MadeInEurope
Animal Print Pleated Maxi Skirt,"124,90 ",Black Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32271-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-pleated-maxi-skirt-black-animal-print/,–Fitstruetosize–Longmaxilength–Mid-weightfabric–Pleated–Printed–100%polyester–MadeInEurope
Animal Print Pleated Sleeveless Top,"109,90 ",Black Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32391-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-pleated-sleeveless-top-black-animal-print/,–Fitstruetosize–Mid-weightfabric–Printed–Pleated–100%polyester–MadeInEurope
Animal Print Ruffle Pleated Top,"69,90 ",Black Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32731-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-ruffle-pleated-top-black-animal-print/,–Slightlyrelaxedfit–Lightweightfabric–Rufflepleatedtechnique–Sheer–Pleated–Printed–Visibleseamstitchdetail–95%polyester–5%elastane–MadeInEurope
Animal Print Ruffle Satin Crossbody Bag,"129,90 ",Black Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32281-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-ruffle-satin-crossbody-bag-black-animal-print/,"–Bigshoulderbagwithextralining–Lightweight,non-stretchfabric–Printed–Adjustablechannelledgatheringatstrap–100%polyester–MadeInEurope"
Animal Print Satin Bag,"79,90 ",Brown Animal Print,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31431-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-satin-bag-brown-animal-print/,"–Smallshoulderbagwithextralining–Lightweight,non-stretchfabric–Verywideadjustablestrap–Printed–100%polyester–MadeInEurope"
Animal Print Sheer Pleated Top,"69,90 ",,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31511-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-sheer-pleated-top-black-animal-print/,"–See-throughtop–Lightweight,stretchfabric–Printed–Pleated–100%polyester–MadeInEurope"
Animal Print Tank Top,"79,90 ",,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31251-768x1075.jpg,https://www.esthe.co.uk/product/animal-print-tank-top-brown-animal-print/,"–Lightweight,semi-stretchfabric–Designedforatightfit–Printed–Adjustablechannelledgatheringatthesideseam–91%polyester–9%elastane–MadeInEurope"
Asymmetric Heart Cut-Out Maxi Dress,"149,90 ",,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3162a1-768x1075.jpg,https://www.esthe.co.uk/product/asymmetric-heart-cut-out-maxi-dress-black/,–Fitstruetosize–Asymmetricneckline–Cut-outopeningatwaist–Unlined–Mid-weightstretchyribfabric–Sleevelengthrunslonger–Midilength–94%polyester–6%elastane–MadeInEurope
Asymmetric Layered Bodysuit,"109,90 ",,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3070a1-768x1075.jpg,https://www.esthe.co.uk/product/asymmetric-layered-bodysuit-black/,"–Mid-weight,stretchyjerseyfabric–Fitstruetosize–Cutforaveryclosefit–Crossbodylayereddesign–Sustainable/Responsible–95%viscoseecovero–5%elastane–MadeInEurope"
Cargo Maxi Skirt,"159,90 ",Black,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3135b1-768x1075.jpg,https://www.esthe.co.uk/product/cargo-maxi-skirt-black/,–Midrise–Beltloops–Functionalpockets–Backcentresplit–Regularfit–Cargostyle–97%cotton–3%elastane–MadeInEurope
Cargo Maxi Skirt,"159,90 ",Almond Milk,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3135a1-768x1075.jpg,https://www.esthe.co.uk/product/cargo-maxi-skirt-almond-milk/,–Midrise–Beltloops–Functionalpockets–Backcentresplit–Regularfit–Cargostyle–97%cotton–3%elastane–MadeInEurope
Cargo Mini Skirt,"109,90 ",,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3124a1-768x1075.jpg,https://www.esthe.co.uk/product/cargo-mini-skirt-black/,–Waist-downdressing–Lowrise–Beltloops–Liningshortsinside–Regularfit–Shortlength–97%cotton–3%elastane–MadeInEurope
Cargo Trousers,"179,90 ",Black,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3105b1-768x1075.jpg,https://www.esthe.co.uk/product/cargo-trousers-black/,–Cutforaloosefit–Midrise–Beltloops–Functionalpockets–Wideleg–Cargostyle–97%cotton–3%elastane–MadeInEurope
Cargo Trousers,"179,90 ",Almond Milk,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3105a1-768x1075.jpg,https://www.esthe.co.uk/product/cargo-trousers-almond-milk/,–Cutforaloosefit–Midrise–Beltloops–Functionalpockets–Wideleg–Cargostyle–97%cotton–3%elastane–MadeInEurope
Contrast Pleated Bralette,"46,90 ",Black,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3146a1-768x1075.jpg,https://www.esthe.co.uk/product/contrast-pleated-bralette-black/,–Adjustablestraps–Elasticatedband–Pleated–3rowsofbackfasteninghooksforaddedsupport–100%polyester–MadeInEurope
Contrast Pleated Sheer Top,"99,90 ",Black,https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3089a1-768x1075.jpg,https://www.esthe.co.uk/product/contrast-pleated-sheer-top-black/,–Truetosize–Adjustablechanneledgathering–Semi-sheer–Pleated–95%polyester–5%elastane–MadeInEurope
